what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525792992955
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792996575
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793006637
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525793006652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793027962
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793044935
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525793047852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793058569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793105525
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525793107740
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1525793117381
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1525793117958
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525793121063
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1525793124152
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525793125618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793131593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793132357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793132654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793132763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793133933
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793141249
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525793142341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793152356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793156615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793157910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793192669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793211244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793409603
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793422317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793428385
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525793428385
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525793430881
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793431178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793437449
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525793441801
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525793446747
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525793447979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793448244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793454281
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525793456793
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793462939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793467775
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525793467791
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793471114
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793472799
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525793475872
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525793560502
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1525793581344
error,log,,,"Inferior terminated",1525793581382
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1525793584435
executed,command,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project.commands.bspEditor",1525793592453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793592734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793629067
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525793632452
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793632748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793638021
